Start Date,1/1/14
End Date,9/30/24
,
,SPX Index
,Last Price
Dates,PX_LAST
10/8/21,4391.34
10/7/21,4399.76
10/6/21,4363.55
10/5/21,4345.72
10/4/21,4300.46
10/1/21,4357.04
9/30/21,4307.54
9/29/21,4359.46
9/28/21,4352.63
9/27/21,4443.11
9/24/21,4455.48
9/23/21,4448.98
9/22/21,4395.64
9/21/21,4354.19
9/20/21,4357.73
9/17/21,4432.99
9/16/21,4473.75
9/15/21,4480.7
9/14/21,4443.05
9/13/21,4468.73
9/10/21,4458.58
9/9/21,4493.28
9/8/21,4514.07
9/7/21,4520.03
9/3/21,4535.43
9/2/21,4536.95
9/1/21,4524.09
8/31/21,4522.68
8/30/21,4528.79
8/27/21,4509.37
8/26/21,4470
8/25/21,4496.19
8/24/21,4486.23
8/23/21,4479.53
8/20/21,4441.67
8/19/21,4405.8
8/18/21,4400.27
8/17/21,4448.08
8/16/21,4479.71
8/13/21,4468
8/12/21,4460.83
8/11/21,4447.7
8/10/21,4436.75
8/9/21,4432.35
8/6/21,4436.52
8/5/21,4429.1
8/4/21,4402.66
8/3/21,4423.15
8/2/21,4387.16
7/30/21,4395.26
7/29/21,4419.15
7/28/21,4400.64
7/27/21,4401.46
7/26/21,4422.3
7/23/21,4411.79
7/22/21,4367.48
7/21/21,4358.69
7/20/21,4323.06
7/19/21,4258.49
7/16/21,4327.16
7/15/21,4360.03
7/14/21,4374.3
7/13/21,4369.21
7/12/21,4384.63
7/9/21,4369.55
7/8/21,4320.82
7/7/21,4358.13
7/6/21,4343.54
7/2/21,4352.34
7/1/21,4319.94
6/30/21,4297.5
6/29/21,4291.8
6/28/21,4290.61
6/25/21,4280.7
6/24/21,4266.49
6/23/21,4241.84
6/22/21,4246.44
6/21/21,4224.79
6/18/21,4166.45
6/17/21,4221.86
6/16/21,4223.7
6/15/21,4246.59
6/14/21,4255.15
6/11/21,4247.44
6/10/21,4239.18
6/9/21,4219.55
6/8/21,4227.26
6/7/21,4226.52
6/4/21,4229.89
6/3/21,4192.85
6/2/21,4208.12
6/1/21,4202.04
5/28/21,4204.11
5/27/21,4200.88
5/26/21,4195.99
5/25/21,4188.13
5/24/21,4197.05
5/21/21,4155.86
5/20/21,4159.12
5/19/21,4115.68
5/18/21,4127.83
5/17/21,4163.29
5/14/21,4173.85
5/13/21,4112.5
5/12/21,4063.04
5/11/21,4152.1
5/10/21,4188.43
5/7/21,4232.6
5/6/21,4201.62
5/5/21,4167.59
5/4/21,4164.66
5/3/21,4192.66
4/30/21,4181.17
4/29/21,4211.47
4/28/21,4183.18
4/27/21,4186.72
4/26/21,4187.62
4/23/21,4180.17
4/22/21,4134.98
4/21/21,4173.42
4/20/21,4134.94
4/19/21,4163.26
4/16/21,4185.47
4/15/21,4170.42
4/14/21,4124.66
4/13/21,4141.59
4/12/21,4127.99
4/9/21,4128.8
4/8/21,4097.17
4/7/21,4079.95
4/6/21,4073.94
4/5/21,4077.91
4/1/21,4019.87
3/31/21,3972.89
3/30/21,3958.55
3/29/21,3971.09
3/26/21,3974.54
3/25/21,3909.52
3/24/21,3889.14
3/23/21,3910.52
3/22/21,3940.59
3/19/21,3913.1
3/18/21,3915.46
3/17/21,3974.12
3/16/21,3962.71
3/15/21,3968.94
3/12/21,3943.34
3/11/21,3939.34
3/10/21,3898.81
3/9/21,3875.44
3/8/21,3821.35
3/5/21,3841.94
3/4/21,3768.47
3/3/21,3819.72
3/2/21,3870.29
3/1/21,3901.82
2/26/21,3811.15
2/25/21,3829.34
2/24/21,3925.43
2/23/21,3881.37
2/22/21,3876.5
2/19/21,3906.71
2/18/21,3913.97
2/17/21,3931.33
2/16/21,3932.59
2/12/21,3934.83
2/11/21,3916.38
2/10/21,3909.88
2/9/21,3911.23
2/8/21,3915.59
2/5/21,3886.83
2/4/21,3871.74
2/3/21,3830.17
2/2/21,3826.31
2/1/21,3773.86
1/29/21,3714.24
1/28/21,3787.38
1/27/21,3750.77
1/26/21,3849.62
1/25/21,3855.36
1/22/21,3841.47
1/21/21,3853.07
1/20/21,3851.85
1/19/21,3798.91
1/15/21,3768.25
1/14/21,3795.54
1/13/21,3809.84
1/12/21,3801.19
1/11/21,3799.61
1/8/21,3824.68
1/7/21,3803.79
1/6/21,3748.14
1/5/21,3726.86
1/4/21,3700.65
12/31/20,3756.07
12/30/20,3732.04
12/29/20,3727.04
12/28/20,3735.36
12/24/20,3703.06
12/23/20,3690.01
12/22/20,3687.26
12/21/20,3694.92
12/18/20,3709.41
12/17/20,3722.48
12/16/20,3701.17
12/15/20,3694.62
12/14/20,3647.49
12/11/20,3663.46
12/10/20,3668.1
12/9/20,3672.82
12/8/20,3702.25
12/7/20,3691.96
12/4/20,3699.12
12/3/20,3666.72
12/2/20,3669.01
12/1/20,3662.45
11/30/20,3621.63
11/27/20,3638.35
11/25/20,3629.65
11/24/20,3635.41
11/23/20,3577.59
11/20/20,3557.54
11/19/20,3581.87
11/18/20,3567.79
11/17/20,3609.53
11/16/20,3626.91
11/13/20,3585.15
11/12/20,3537.01
11/11/20,3572.66
11/10/20,3545.53
11/9/20,3550.5
11/6/20,3509.44
11/5/20,3510.45
11/4/20,3443.44
11/3/20,3369.16
11/2/20,3310.24
10/30/20,3269.96
10/29/20,3310.11
10/28/20,3271.03
10/27/20,3390.68
10/26/20,3400.97
10/23/20,3465.39
10/22/20,3453.49
10/21/20,3435.56
10/20/20,3443.12
10/19/20,3426.92
10/16/20,3483.81
10/15/20,3483.34
10/14/20,3488.67
10/13/20,3511.93
10/12/20,3534.22
10/9/20,3477.13
10/8/20,3446.83
10/7/20,3419.45
10/6/20,3360.95
10/5/20,3408.63
10/2/20,3348.44
10/1/20,3380.8
9/30/20,3363
9/29/20,3335.47
9/28/20,3351.6
9/25/20,3298.46
9/24/20,3246.59
9/23/20,3236.92
9/22/20,3315.57
9/21/20,3281.06
9/18/20,3319.47
9/17/20,3357.01
9/16/20,3385.49
9/15/20,3401.2
9/14/20,3383.54
9/11/20,3340.97
9/10/20,3339.19
9/9/20,3398.96
9/8/20,3331.84
9/4/20,3426.96
9/3/20,3455.06
9/2/20,3580.84
9/1/20,3526.65
8/31/20,3500.31
8/28/20,3508.01
8/27/20,3484.55
8/26/20,3478.73
8/25/20,3443.62
8/24/20,3431.28
8/21/20,3397.16
8/20/20,3385.51
8/19/20,3374.85
8/18/20,3389.78
8/17/20,3381.99
8/14/20,3372.85
8/13/20,3373.43
8/12/20,3380.35
8/11/20,3333.69
8/10/20,3360.47
8/7/20,3351.28
8/6/20,3349.16
8/5/20,3327.77
8/4/20,3306.51
8/3/20,3294.61
7/31/20,3271.12
7/30/20,3246.22
7/29/20,3258.44
7/28/20,3218.44
7/27/20,3239.41
7/24/20,3215.63
7/23/20,3235.66
7/22/20,3276.02
7/21/20,3257.3
7/20/20,3251.84
7/17/20,3224.73
7/16/20,3215.57
7/15/20,3226.56
7/14/20,3197.52
7/13/20,3155.22
7/10/20,3185.04
7/9/20,3152.05
7/8/20,3169.94
7/7/20,3145.32
7/6/20,3179.72
7/2/20,3130.01
7/1/20,3115.86
6/30/20,3100.29
6/29/20,3053.24
6/26/20,3009.05
6/25/20,3083.76
6/24/20,3050.33
6/23/20,3131.29
6/22/20,3117.86
6/19/20,3097.74
6/18/20,3115.34
6/17/20,3113.49
6/16/20,3124.74
6/15/20,3066.59
6/12/20,3041.31
6/11/20,3002.1
6/10/20,3190.14
6/9/20,3207.18
6/8/20,3232.39
6/5/20,3193.93
6/4/20,3112.35
6/3/20,3122.87
6/2/20,3080.82
6/1/20,3055.73
5/29/20,3044.31
5/28/20,3029.73
5/27/20,3036.13
5/26/20,2991.77
5/22/20,2955.45
5/21/20,2948.51
5/20/20,2971.61
5/19/20,2922.94
5/18/20,2953.91
5/15/20,2863.7
5/14/20,2852.5
5/13/20,2820
5/12/20,2870.12
5/11/20,2930.32
5/8/20,2929.8
5/7/20,2881.19
5/6/20,2848.42
5/5/20,2868.44
5/4/20,2842.74
5/1/20,2830.71
4/30/20,2912.43
4/29/20,2939.51
4/28/20,2863.39
4/27/20,2878.48
4/24/20,2836.74
4/23/20,2797.8
4/22/20,2799.31
4/21/20,2736.56
4/20/20,2823.16
4/17/20,2874.56
4/16/20,2799.55
4/15/20,2783.36
4/14/20,2846.06
4/13/20,2761.63
4/9/20,2789.82
4/8/20,2749.98
4/7/20,2659.41
4/6/20,2663.68
4/3/20,2488.65
4/2/20,2526.9
4/1/20,2470.5
3/31/20,2584.59
3/30/20,2626.65
3/27/20,2541.47
3/26/20,2630.07
3/25/20,2475.56
3/24/20,2447.33
3/23/20,2237.4
3/20/20,2304.92
3/19/20,2409.39
3/18/20,2398.1
3/17/20,2529.19
3/16/20,2386.13
3/13/20,2711.02
3/12/20,2480.64
3/11/20,2741.38
3/10/20,2882.23
3/9/20,2746.56
3/6/20,2972.37
3/5/20,3023.94
3/4/20,3130.12
3/3/20,3003.37
3/2/20,3090.23
2/28/20,2954.22
2/27/20,2978.76
2/26/20,3116.39
2/25/20,3128.21
2/24/20,3225.89
2/21/20,3337.75
2/20/20,3373.23
2/19/20,3386.15
2/18/20,3370.29
2/14/20,3380.16
2/13/20,3373.94
2/12/20,3379.45
2/11/20,3357.75
2/10/20,3352.09
2/7/20,3327.71
2/6/20,3345.78
2/5/20,3334.69
2/4/20,3297.59
2/3/20,3248.92
1/31/20,3225.52
1/30/20,3283.66
1/29/20,3273.4
1/28/20,3276.24
1/27/20,3243.63
1/24/20,3295.47
1/23/20,3325.54
1/22/20,3321.75
1/21/20,3320.79
1/17/20,3329.62
1/16/20,3316.81
1/15/20,3289.29
1/14/20,3283.15
1/13/20,3288.13
1/10/20,3265.35
1/9/20,3274.7
1/8/20,3253.05
1/7/20,3237.18
1/6/20,3246.28
1/3/20,3234.85
1/2/20,3257.85
12/31/19,3230.78
12/30/19,3221.29
12/27/19,3240.02
12/26/19,3239.91
12/24/19,3223.38
12/23/19,3224.01
12/20/19,3221.22
12/19/19,3205.37
12/18/19,3191.14
12/17/19,3192.52
12/16/19,3191.45
12/13/19,3168.8
12/12/19,3168.57
12/11/19,3141.63
12/10/19,3132.52
12/9/19,3135.96
12/6/19,3145.91
12/5/19,3117.43
12/4/19,3112.76
12/3/19,3093.2
12/2/19,3113.87
11/29/19,3140.98
11/27/19,3153.63
11/26/19,3140.52
11/25/19,3133.64
11/22/19,3110.29
11/21/19,3103.54
11/20/19,3108.46
11/19/19,3120.18
11/18/19,3122.03
11/15/19,3120.46
11/14/19,3096.63
